,P1_BUTTONA,P1_BUTTONB,P1_BUTTONC,P1_BUTTONX,P1_BUTTONY,P1_BUTTONZ,P1_START,P2_BUTTONA,P2_BUTTONB,P2_BUTTONC,P2_BUTTONX,P2_BUTTONY,P2_BUTTONZ,P2_START,MENU
pcengine,Blue,Blue,Blue,Blue,Blue,Blue,White,Blue,Blue,Blue,Blue,Blue,Blue,White,Green
pcenginecd,Orange,Orange,,,,,White,Orange,Orange,,,,,White,Green
pcfx,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Green
pictures,White,White,White,White,White,White,White,Blue,Blue,Blue,Blue,Blue,Blue,White,Green
pokemini,Blue,Blue,,,,,White,Blue,Blue,,,,,White,Green
psp,White,White,,White,White,,White,White,White,,White,White,,White,Green
psx,Blue,Red,Green,Magenta,White,White,White,Blue,Red,Green,Magenta,White,White,White,Green
quake,Red,Red,Red,Red,Red,Red,Red,,,,,,,,Green
quake2,Blue,Blue,Blue,Blue,Blue,Blue,Blue,,,,,,,,Green
quake3,White,White,White,White,White,White,White,,,,,,,,Green
rickdangerous,,White,,,,,White,,,,,,,,Green
samcoupe,Red,,,,,,White,Red,,,,,,White,Green
satellaview,Red,Yellow,,Blue,Green,,White,Red,Yellow,,Blue,Green,,White,Green
scummvm,White,White,White,White,White,White,White,Blue,Blue,Blue,Blue,Blue,Blue,White,Green
sega32x,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Green
segacd,White,White,White,Blue,Blue,Blue,White,White,White,White,Blue,Blue,Blue,White,Green
segasaturn,Green,Yellow,Blue,White,White,White,White,Green,Yellow,Blue,White,White,White,White,Green
sg1000,Red,Red,,,,,White,Red,Red,,,,,White,Green
snes,Red,Yellow,,Blue,Green,,White,Red,Yellow,,Blue,Green,,White,Green
spectravideo,Red,Red,,,,,White,Red,Red,,,,,White,Green
sufami,Red,Yellow,,Blue,Green,,White,Red,Yellow,,Blue,Green,,White,Green
supergrafx,White,White,,,,,White,White,White,,,,,White,Green
thomson,Yellow,Yellow,,,,,White,Yellow,Yellow,,,,,White,Green
tic80,White,White,White,White,White,White,White,,,,,,,,Green
uzebox,Red,Red,,,,,White,Red,Red,,,,,White,Green
vectrex,White,White,White,White,White,,White,White,White,White,White,White,,White,Green
virtualboy,Red,Red,,,,,White,Red,Red,,,,,White,Green
wolfenstein3d,White,White,White,White,White,White,White,,,,,,,,Green
wswan,White,White,,,,,White,White,White,,,,,White,Green
wswanc,Blue,Blue,,,,,White,Blue,Blue,,,,,White,Green
x1,Orange,Orange,,,,,White,Orange,Orange,,,,,White,Green
x68000,Orange,Orange,Orange,,,,White,Orange,Orange,Orange,,,,White,Green
zx81,Red,Red,,,,,White,Red,Red,,,,,White,Green
zxspectrum,Red,Red,,,,,White,Red,Red,,,,,White,Green

